beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Swiss Black,""Lidskoe Pivo (Лидское Пиво)"",""Lager - Dark"",4.6,0,""Сильно на любителя. Шоколадный компотик."",,,,,,,1,""2015-08-11 13:05:15"",https://untappd.com/c/213277862,https://untappd.com/beer/868359,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,213277862,868359,33625,,2.79,3.1,,0,0"
"Dinamo Ice,""Krinitsa (Криница)"",""Lager - Euro Pale"",4,0,,,,,,,,,""2015-08-11 13:08:04"",https://untappd.com/c/213277915,https://untappd.com/beer/516560,https://untappd.com/brewery/5860,Belarus,""Partyzanski District"",Минск,,,Bottle,213277915,516560,5860,,2.18,3.35,,1,0"
"387. Osobaya Varka (387. Особая Варка),""Moscow-Efes Brewery (Пивоварня Москва-Эфес)"",Märzen,6.8,0,,,,,,,,4,""2015-08-11 13:08:43"",https://untappd.com/c/213277928,https://untappd.com/beer/679725,https://untappd.com/brewery/33116,Russia,Moscow,Москва,,,Bottle,213277928,679725,33116,,2.9,2.97,,0,0"
"Alivaria Zolotoe (Аливария Золотое),""Пивоваренная компания «Аливария» (Alivaria Brewery)"",""Lager - Pale"",4.8,0,,,,,,,,,""2015-08-11 13:09:45"",https://untappd.com/c/213277948,https://untappd.com/beer/307628,https://untappd.com/brewery/5861,Belarus,Минск,Minsk,,,Bottle,213277948,307628,5861,,2.84,2.96,,0,0"
"Authentic Pub Belgium,""Krinitsa (Криница)"",""Fruit Beer"",4.4,0,,,,,,,,4,""2015-08-11 13:10:01"",https://untappd.com/c/213277960,https://untappd.com/beer/1144856,https://untappd.com/brewery/5860,Belarus,""Partyzanski District"",Минск,,,Bottle,213277960,1144856,5860,,2.59,3.23,,0,0"
"Australian Bitter,""Lidskoe Pivo (Лидское Пиво)"",""Pilsner - Other"",4.4,41,,,,,,,,4,""2015-08-11 13:11:11"",https://untappd.com/c/213277984,https://untappd.com/beer/1161063,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,213277984,1161063,33625,,3.68,3.68,,0,0"
"Koronet Stout,""Lidskoe Pivo (Лидское Пиво)"",""Stout - Other"",4.2,20,,,,,,,,4,""2015-08-11 13:11:27"",https://untappd.com/c/213277990,https://untappd.com/beer/979903,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,213277990,979903,33625,,2.86,2.99,,0,0"
"Blonde,""Перша Приватна Броварня (Persha Pryvatna Brovarnya)"",Witbier,5,0,,,,,,,,4,""2015-08-11 13:11:52"",https://untappd.com/c/213277995,https://untappd.com/beer/671930,https://untappd.com/brewery/4701,Ukraine,Lviv,,,,Bottle,213277995,671930,4701,,3.25,3.44,,0,0"
"Authentic Pub Mexican,""Krinitsa (Криница)"",""Fruit Beer"",4.4,0,,,,,,,,3,""2015-08-11 13:12:14"",https://untappd.com/c/213278002,https://untappd.com/beer/1144841,https://untappd.com/brewery/5860,Belarus,""Partyzanski District"",Минск,,,Bottle,213278002,1144841,5860,,2.23,3.18,,0,0"
"Trapezne (Трапезне),""Перша Приватна Броварня (Persha Pryvatna Brovarnya)"",""Lager - Vienna"",5.7,0,,,,,,,,3,""2015-08-11 13:12:28"",https://untappd.com/c/213278010,https://untappd.com/beer/306552,https://untappd.com/brewery/4701,Ukraine,Lviv,,,,Bottle,213278010,306552,4701,,3.38,3.53,,0,0"
"Alivaria Desiatka (Аливария Десятка),""Пивоваренная компания «Аливария» (Alivaria Brewery)"",""Pilsner - Other"",4,0,,,,,,,,2,""2015-08-11 13:12:54"",https://untappd.com/c/213278019,https://untappd.com/beer/263339,https://untappd.com/brewery/5861,Belarus,Минск,Minsk,,,Bottle,213278019,263339,5861,,2.73,2.93,,0,0"
"Authentic Pub Japanese,""Krinitsa (Криница)"",""Ginger Beer"",4.4,0,,,,,,,,2,""2015-08-11 13:13:06"",https://untappd.com/c/213278022,https://untappd.com/beer/1144925,https://untappd.com/brewery/5860,Belarus,""Partyzanski District"",Минск,,,Bottle,213278022,1144925,5860,,2.56,3.22,,0,0"
"LIDSKAE Nulevachka (ЛІДСКАЕ Нулёвачка),""Lidskoe Pivo (Лидское Пиво)"",""Non-Alcoholic Beer"",0.5,20,,,,,,,,1,""2015-08-11 13:13:27"",https://untappd.com/c/213278036,https://untappd.com/beer/352612,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,213278036,352612,33625,,2.39,2.88,,0,0"
"Безалкогольне (Bezalkogolne),""Перша Приватна Броварня (Persha Pryvatna Brovarnya)"",""Non-Alcoholic Beer"",0.5,0,,,,,,,,1,""2015-08-11 13:14:33"",https://untappd.com/c/213278057,https://untappd.com/beer/166236,https://untappd.com/brewery/4701,Ukraine,Lviv,,,,Bottle,213278057,166236,4701,,2.53,3.22,,0,0"
"Alivaria Beloe Zoloto (Аливария Белое Золото),""Пивоваренная компания «Аливария» (Alivaria Brewery)"",Witbier,5,0,,,,,,,,4,""2015-08-11 13:58:09"",https://untappd.com/c/213279180,https://untappd.com/beer/21655,https://untappd.com/brewery/5861,Belarus,Минск,Minsk,,,Bottle,213279180,21655,5861,,3.19,3.23,,1,0"
"Obolon Non-Alcoholic (Оболонь Безалкогольне),""Obolon (Оболонь)"",""Non-Alcoholic Beer"",0.4,0,""Довольно приятное безалкогольное пиво"",Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2015-08-13 22:23:58"",https://untappd.com/c/213861134,https://untappd.com/beer/365653,https://untappd.com/brewery/3260,Ukraine,Kyiv,Київ,,,Bottle,213861134,365653,3260,https://untappd.s3.amazonaws.com/photo/2015_08_13/5e67aa12ccc12beccfa8b11c03519ade_raw.jpg,2.31,2.8,,3,0"
"Baltika #0 Non-Alcoholic,""Baltika Breweries (Балтика)"",""Non-Alcoholic Beer"",0.5,0,""Неплохое безалкогольное пиво"",Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2015-08-14 16:20:48"",https://untappd.com/c/214133689,https://untappd.com/beer/20092,https://untappd.com/brewery/999,Russia,""Saint Petersburg"",Санкт-Петербург,,,Bottle,214133689,20092,999,https://untappd.s3.amazonaws.com/photo/2015_08_14/aea9dc138f8b89d9d196dbbd6ccacc40_raw.jpg,2.34,2.44,,2,0"
"Scottish Stout,""Belhaven Brewery"",""Stout - Other"",7,50,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4,""2015-08-14 21:56:17"",https://untappd.com/c/214203594,https://untappd.com/beer/1111429,https://untappd.com/brewery/98,Scotland,Dunbar,""East Lothian"",,,Bottle,214203594,1111429,98,https://untappd.s3.amazonaws.com/photo/2015_08_14/9cc4cac0f349133caa24d583c209c40d_raw.jpg,3.66,3.66,,1,0"
"Zlatý Bažant Radler Grapefruit,""Heineken Slovensko"",""Shandy / Radler"",2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2015-08-15 23:34:25"",https://untappd.com/c/214810451,https://untappd.com/beer/906240,https://untappd.com/brewery/5721,Slovakia,Hurbanovo,,,,Bottle,214810451,906240,5721,https://untappd.s3.amazonaws.com/photo/2015_08_15/6d2e9c2785a5ad9d187958defd32befa_raw.jpg,3.28,3.39,,2,0"
"Golden Bumblebee Blackberry Ale (Черничный Эль),""Dvinsky Brovar (Двинский Бровар)"",""Fruit Beer"",4.5,0,""Чересчур сладко"",Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,0.5,""2015-08-16 22:26:34"",https://untappd.com/c/215321055,https://untappd.com/beer/1180599,https://untappd.com/brewery/55466,Belarus,Vitebsk,""Витебская область"",,,Bottle,215321055,1180599,55466,https://untappd.s3.amazonaws.com/photo/2015_08_16/0d6b4e535aabc2d2349491445c62ed1a_raw.jpg,1.76,3.24,,1,0"
"Grand Select,""Kalnapilis Brewery"",""Lager - Pale"",5.4,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4.5,""2015-08-18 20:52:09"",https://untappd.com/c/215799491,https://untappd.com/beer/406620,https://untappd.com/brewery/13967,Lithuania,Panevezys,""Panevėžio apskritis"",,,Bottle,215799491,406620,13967,https://untappd.s3.amazonaws.com/photo/2015_08_18/9612401bce8cd31869e6a45ecc9b81e0_raw.jpg,3.02,3.07,,2,1"
"Авторське (Avtorske),""Перша Приватна Броварня (Persha Pryvatna Brovarnya)"",""Bock - Single / Traditional"",7,14,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2,""2015-08-21 22:18:38"",https://untappd.com/c/216651452,https://untappd.com/beer/17437,https://untappd.com/brewery/4701,Ukraine,Lviv,,,,Bottle,216651452,17437,4701,https://untappd.s3.amazonaws.com/photo/2015_08_21/db2237a30b3288788202a9d59330db24_raw.jpg,3.28,3.33,,1,0"
"Corona Extra,""Grupo Modelo"",""Lager - American"",4.6,19,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3,""2015-08-23 14:08:24"",https://untappd.com/c/217634636,https://untappd.com/beer/5848,https://untappd.com/brewery/618,Mexico,Nava,""Coahuila de Zaragoza"",,,Bottle,217634636,5848,618,https://untappd.s3.amazonaws.com/photo/2015_08_23/d83bb0192d2b9e56b49a7b6bb6b67ac0_raw.jpg,3.08,3.08,,0,0"
"LIDSKAE Brugge Evening (ЛІДСКАЕ Вечер в Брюгге),""Lidskoe Pivo (Лидское Пиво)"",""Fruit Beer"",4.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.5,""2015-08-23 22:10:01"",https://untappd.com/c/217737975,https://untappd.com/beer/621640,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,217737975,621640,33625,https://untappd.s3.amazonaws.com/photo/2015_08_23/1bb405e327449ffc382d5cd609cac5d0_raw.jpg,3.3,3.33,,0,0"
"Alivaria Zolotoe (Аливария Золотое),""Пивоваренная компания «Аливария» (Alivaria Brewery)"",""Lager - Pale"",4.8,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,3.75,""2015-08-24 19:06:32"",https://untappd.com/c/217997153,https://untappd.com/beer/307628,https://untappd.com/brewery/5861,Belarus,Минск,Minsk,,,Draft,217997153,307628,5861,,2.84,2.96,,0,0"
"Lāčplēsis Izturēts,Lāčplēsis,""Lager - Pale"",5.6,20,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,2.5,""2015-08-28 22:42:03"",https://untappd.com/c/219032922,https://untappd.com/beer/1021269,https://untappd.com/brewery/14914,Latvia,Liepāja,Kurzeme,,,Bottle,219032922,1021269,14914,https://untappd.s3.amazonaws.com/photo/2015_08_28/ac6cde8b0346a35b25c8be4db9bcbebf_raw.jpg,2.86,3.07,,0,0"
"Lidski bread kvass (Квас Лидский Хлебный),""Lidskoe Pivo (Лидское Пиво)"",Kvass,1.2,0,,Молодечно,,""Мiнская вобл."",Беларусь,54.3069,26.854,4,""2015-08-30 15:20:43"",https://untappd.com/c/220011480,https://untappd.com/beer/473058,https://untappd.com/brewery/33625,Belarus,Lida,""Гродненская область"",,,Bottle,220011480,473058,33625,,3.43,3.49,,1,0"
